L1	WF1	SG1	R1			ābele	ābele	(āb)-el-e	NOUN		NONE				LVK2018
L10	WF1	SG1	R1	DERIV:L23	DERIV:ābols	ābolaine	ābolaine	(āb)-ol-ain-e	NOUN		DERIV	ābols			LVK2018
L11	WF1,WF268	SG1,SG295	R1,R441	COMP:L23+L6138	COMP:ābols+diena	Āboldiena	Āboldiena	(Āb)-ol-(dien)-a	PROPN		COMP	ābols+diena	"ābolu diena"		LVK2018
L12	WF1	SG1	R1	SEMANT:L14	SEMANT:āboliņš	Āboliņa	Āboliņa	(Āb)-ol-iņ-a	PROPN		SEMANT	āboliņš			LVK2018
L13	WF1	SG1	R1	COMP:L14+sēkla	COMP:āboliņš+UNR	āboliņsēkla	āboliņsēkla	(āb)-ol-iņ-(sē)-kl-a	NOUN		COMP	āboliņš+sēkla	"āboliņa sēkla"		LVK2018
L14	WF1	SG1	R1	DERIV:L23	DERIV:ābols	āboliņš	āboliņš	(āb)-ol-iņ-š	NOUN		DERIV	ābols			LVK2018
L15	WF1	SG1	R1	SEMANT:L14	SEMANT:āboliņš	Āboliņš_prop	Āboliņš	(Āb)-ol-iņ-š	PROPN		SEMANT	āboliņš			LVK2018
L16	WF1	SG1	R1	DERIV:L23	DERIV:ābols	ābolītis	ābolītis	(āb)-ol-īt-is	NOUN		DERIV	ābols			LVK2018
L17	WF1	SG1	R1	COMP:L23+kalns	COMP:ābols+UNR	Ābolkalna_uzv	Ābolkalna	(Āb)-ol-(kal)-n-a	PROPN		COMP	ābols+kalns	"ābola kalns"		Tīmeklis2007
L18	WF1	SG1	R1	COMP:L23+kalns	COMP:ābols+UNR	Ābolkalne_uzv	Ābolkalne	(Āb)-ol-(kal)-n-e	PROPN		COMP	ābols+kalns	"ābola kalns"		LVK2018
L19	WF1	SG1	R1	COMP:L23+kalns	COMP:ābols+UNR	Ābolkalns	Ābolkalni	(Āb)-ol-(kal)-n-i	PROPN	PropnClass=PlTantum	COMP	ābols+kalns	"ābola kalni"		LVK2018
L2	WF1	SG1	R1	DERIV:L1	DERIV:ābele	ābelēna_dem	ābelēna	(āb)-el-ēn-a	NOUN		DERIV	ābele			Tīmeklis2007
L20	WF1	SG1	R1	COMP:L23+kalns	COMP:ābols+UNR	Ābolkalns_uzv	Ābolkalns	(Āb)-ol-(kal)-n-s	PROPN		COMP	ābols+kalns	"ābola kalns"		LVK2022
L21	WF1	SG1	R1	COMP:L23+kūka	COMP:ābols+UNR	ābolkūka	ābolkūka	(āb)-ol-(kūk)-a	NOUN		COMP	ābols+kūka	"ābolu kūka"		LVK2018
L22	WF1	SG1	R1	COMP:L23+maize	COMP:ābols+UNR	ābolmaize	ābolmaize	(āb)-ol-(maiz)-e	NOUN		COMP	ābols+maize	"ābolu maize"		LVK2018
L23	WF1	SG1	R1			ābols	ābols	(āb)-ol-s	NOUN		NONE				LVK2018
L24	WF1	SG1	R1	COMP:L23+skābe	COMP:ābols+UNR	ābolskābe	ābolskābe	(āb)-ol-(skāb)-e	NOUN		COMP	ābols+skābe	"ābolu skābe"		LVK2018
L25	WF1	SG1	R1	SEMANT:L27	SEMANT:āboltiņš	Āboltiņa	Āboltiņa	(Āb)-ol-tiņ-a	PROPN		SEMANT	āboltiņš			LVK2018
L26	WF1	SG1	R1	SEMANT:L27	SEMANT:āboltiņš	Āboltiņš	Āboltiņš	(Āb)-ol-tiņ-š	PROPN		SEMANT	āboltiņš			LVK2018
L27	WF1	SG1	R1	DERIV:L23	DERIV:ābols	āboltiņš_sugasv	āboltiņš	(āb)-ol-tiņ-š	NOUN		DERIV	ābols			Karogs
L28	WF1	SG1	R1	COMP:L23+zaļš	COMP:ābols+UNR	ābolzaļš	ābolzaļš	(āb)-ol-(zaļ)-š	ADJ		COMP	ābols+zaļš	"ābola zaļš"		LVK2018
L29	WF1	SG1	R1	COMP:L23+zāle	COMP:ābols+UNR	ābolzāle	ābolzāle	(āb)-ol-(zāl)-e	NOUN		COMP	ābols+zāle	"ābolu zāle"		LVK2018
L3	WF1	SG1	R1	SEMANT:L1	SEMANT:ābele	Ābele	Ābele	(Āb)-el-e	PROPN		SEMANT	ābele			LVK2018
L30	WF1	SG1	R1	COMP:Ādams+L23	COMP:UNR+ābols	ādamābols	ādamābols	(ādam)-(āb)-ol-s	NOUN		COMP	Ādams+ābols	"Ādama ābols"		LVK2018
L31	WF1	SG1	R1	COMP:avene+L23	COMP:UNR+ābols	aveņābols_sugasv	aveņābols	(av)-eņ-(āb)-ol-s	NOUN		COMP	avene+ābols	"aveņu ābols"		LatSenRom
L32	WF1	SG1	R1	COMP:bite+L14	COMP:UNR+āboliņš	bišāboliņš_sugasv	bišāboliņš	(biš)-(āb)-ol-iņ-š	NOUN		COMP	bite+āboliņš	"bišu āboliņš"		Tīmeklis2007
L33	WF1,WF160	SG1,SG181	R1,R265	COMP:L3344+L23	COMP:brīnums+ābols	brīnumābols	brīnumābols	(brīn)-um-(āb)-ol-s	NOUN		COMP	brīnums+ābols	"brīnuma ābols"		LVK2018
L34	WF1	SG1	R1	COMP:bumbieris+L1	COMP:UNR+ābele	bumbierābele	bumbierābele	(bumbier)-(āb)-el-e	NOUN		COMP	bumbieris+ābele	"bumbieru ābele"		LVK2018
L35	WF1	SG1	R1	COMP:bumbieris+L23	COMP:UNR+ābols	bumbierābols_sugasv	bumbierābols	(bumbier)-(āb)-ol-s	NOUN		COMP	bumbieris+ābols	"bumbieru ābols"		LVK2022
L36	WF1	SG1	R1	COMP:granāts+L23	COMP:UNR+ābols	granātābols	granātābols	(granāt)-(āb)-ol-s,(gran)-āt-(āb)-ol-s	NOUN		COMP	granāts+ābols	"granāta ābols"		LVK2018
L37	WF1	SG1	R1	COMP:kaza+L14	COMP:UNR+āboliņš	kazāboliņš	kazāboliņš	(kaz)-(āb)-ol-iņ-š	NOUN		COMP	kaza+āboliņš	"kazu āboliņš"		LVK2018
L38	WF1	SG1	R1	COMP:mežs+L1	COMP:UNR+ābele	mežābele	mežābele	(mež)-(āb)-el-e	NOUN		COMP	mežs+ābele	"meža ābele"		LVK2018
