MORPHID	MORPHTYPE	FORM	WFID	SGID	SG_LABEL	STRATUM	DEPTH	WF_LABEL	PROVENANCE	ROOTLEMMAS
R546	ROOT_SG	vi	WF313	SG357	vi	BORROWED	0	zero-element	SG_ROOT	L7909;L7910;L7911;L7912;L7913;L7914;L7915;L7916;L7917;L7918;L7919;L7920;L7921;L7922;L7923;L7924;L7925;L7926;L7927;L7928;L7929;L7930;L7931;L7932;L7933;L7934;L7935;L7936;L7937;L7938;L7939;L7940;L7941;L7942;L7943;L7944;L7945
R547	ROOT_SG	bi	WF313	SG358	bi, b	BORROWED	0	zero-element	SG_ROOT	L7946;L7947;L7948;L7949;L7950;L7951;L7952;L7953;L1146;L1147;L1148;L1149;L7954;L7955;L7956;L7957;L7958;L7959;L7960;L7961;L5763;L7962;L7963;L7964;L7965;L5764;L7966;L7967;L7968;L7969;L7970;L7971;L7972;L7973;L7974;L7975;L7976;L7977;L7978;L7979;L7980;L7981;L7982;L7983;L7984;L7985;L7986;L7987;L7988;L7989;L7990;L7991;L7992;L7993;L7994;L7995;L7996;L7997;L7998;L7999;L8000;L8001;L8002;L8003;L8004;L8005;L8006;L8007;L8008;L8009;L8010;L8011;L8012;L8013;L8014;L8015;L8016;L8017;L8018;L8019;L8020;L8021;L8022;L8023;L8024;L8025;L8026;L8027;L7348;L7349;L8028;L419;L420;L8029;L7350;L8030;L5102;L8031;L8032;L8033;L8034;L8035;L8036;L8037;L8038;L8039;L8040;L8041;L8042;L8043;L8044;L8045;L8046;L8047;L8048;L8049;L8050;L8051;L8052;L8053;L8054;L8055;L8056;L8057;L8058;L8059;L8060;L8061;L8062;L8063
R548	ROOT_SG	b	WF313	SG358	bi, b	BORROWED	0	zero-element	SG_ROOT	L8064;L8065;L8066;L8067;L8068;L5923;L8069
R549	ROOT_SG	dzie	WF314	SG359	dzie, dzied		0	dzie, dzied	SG_ROOT	L1059;L3991;L7589;L8070;L8071;L8072;L8073;L8074;L8075;L8076;L8077;L8078;L8079;L8080;L8081;L8082;L8083;L8084;L8085;L8086;L8087;L8088;L8089;L8090;L8091;L8092;L8093;L8094;L8095;L8096;L8097;L8098;L8099;L8100
R550	ROOT_SG	dzied	WF314	SG359	dzie, dzied		0	dzie, dzied	SG_ROOT	L8101;L8102;L8103;L8104;L8105;L8106;L8107;L8108;L8109;L8110;L8111;L8112;L8113;L8114;L8115;L8116;L8117;L8118;L8119;L8120;L8121;L8122;L8123;L8124;L8125;L8126;L8127;L8128;L8129;L8130;L8131;L8132;L8133;L8134;L8135;L8136;L8137;L8138;L8139;L8140;L8141;L8142;L8143;L8144;L8145;L8146;L8147;L8148;L8149;L8150;L8151;L8152;L8153;L8154;L8155;L8156;L8157;L8158;L8159;L8160;L8161;L8162;L8163;L8164;L8165;L8166;L8167;L8168;L8169;L8170;L8171;L8172;L8173;L8174
R551	ROOT_SG	dzī	WF315	SG360	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ		0	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ	SG_ROOT	L8175;L8176;L8177;L8178;L8179;L8180;L8181;L8182;L8183;L8184;L8185;L8186;L8187;L8188;L8189;L8190;L8191;L8192;L8193;L8194;L8195;L8196;L8197;L8198;L8199;L8200;L8201;L8202;L8203;L8204;L8205;L8206;L8207;L7740;L7740
R552	ROOT_SG	dzin	WF315	SG360	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ		0	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ	SG_ROOT	L8208;L8209;L8210;L1352;L8211;L8212;L8213;L8214;L8215;L8216;L8217;L8218;L8219;L8220;L8221;L8222;L8223;L8224;L8225;L8226;L8227;L8228;L8229;L8230;L8231
R553	ROOT_SG	dzie	WF315	SG360	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ		0	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ	SG_ROOT	L8256
R554	ROOT_SG	dzen	WF315	SG360	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ		0	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ	SG_ROOT	L8232;L8233;L8234;L8235;L8236;L8237;L8238;L8239;L8240;L8241;L1537;L8248;L8249;L8250;L8251;L8252;L8253;L8254
R555	ROOT_SG	dzeņ	WF315	SG360	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ		0	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ	SG_ROOT	L8255
R556	ROOT_SG	dziņ	WF315	SG360	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ		0	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ	SG_ROOT	L7740;L8242;L8243;L7740;L8244;L8245;L8246;L8247
R557	ROOT_SG	gan	WF315	SG360	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ		0	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ	SG_ROOT	L4895;L8257;L8258;L8259;L8260;L8261;L8262;L8263;L8264;L8265;L8266;L8267;L8268;L8269;L8270;L8271;L8272;L8273;L8274;L8275;L8276;L8277;L8278;L8279;L8280;L8281
R558	ROOT_SG	gain	WF315	SG360	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ		0	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ	SG_ROOT	L8291;L8292
R559	ROOT_SG	gaiņ	WF315	SG360	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ		0	dzī, dzin, dzie, dzen, dzeņ, dziņ, gan, gain, gaiņ	SG_ROOT	L8282;L8283;L8284;L8285;L8286;L8287;L8288;L8289;L8290
R560	ROOT_SG	dzes	WF316	SG361	dzes, dzēs, dzis, dzēš, dzi		0	dzes, dzēs, dzis, dzēš, dzi	SG_ROOT	L8293;L8294;L8295;L8296;L8297;L8298;L8299;L8300;L8301;L8302;L8303;L8304;L8305;L8306;L8307;L8308;L8309
R561	ROOT_SG	dzēs	WF316	SG361	dzes, dzēs, dzis, dzēš, dzi		0	dzes, dzēs, dzis, dzēš, dzi	SG_ROOT	L8310;L8311;L8312;L8313;L8314;L8315;L8316;L8317;L8318;L8319;L8320;L8321;L8322;L8323;L8324;L8325;L8326
R562	ROOT_SG	dzis	WF316	SG361	dzes, dzēs, dzis, dzēš, dzi		0	dzes, dzēs, dzis, dzēš, dzi	SG_ROOT	L8327;L8328;L8329;L8330;L8331;L8332;L8333;L8334;L8335;L8336;L8337;L8338;L8339;L8340;L8341
R563	ROOT_SG	dzēš	WF316	SG361	dzes, dzēs, dzis, dzēš, dzi		0	dzes, dzēs, dzis, dzēš, dzi	SG_ROOT	L8350;L8351;L8352;L8353;L8354
R564	ROOT_SG	dzi	WF316	SG361	dzes, dzēs, dzis, dzēš, dzi		0	dzes, dzēs, dzis, dzēš, dzi	SG_ROOT	L8347;L8348;L8349
R565	ROOT_SG	dzintar	WF317	SG362	dzintar, dzītar, zītar, dzintr		0	dzintar, dzītar, zītar, dzintr	SG_ROOT	L8355;L8356;L8357;L8358;L8359;L8360;L8361;L8362;L8363;L8364;L8365;L8366;L8367;L8368;L8369;L8370
R566	ROOT_SG	dzītar	WF317	SG362	dzintar, dzītar, zītar, dzintr		0	dzintar, dzītar, zītar, dzintr	SG_ROOT	L8371
R567	ROOT_SG	zītar	WF317	SG362	dzintar, dzītar, zītar, dzintr		0	dzintar, dzītar, zītar, dzintr	SG_ROOT	L8375;L8376;L8377
R568	ROOT_SG	dzintr	WF317	SG362	dzintar, dzītar, zītar, dzintr		0	dzintar, dzītar, zītar, dzintr	SG_ROOT	L8372;L8373;L8374
R569	ROOT_SG	dzin	WF318	SG363	dzin, dzinkš, dzinks		0	dzin, dzinkš, dzinks	SG_ROOT	L8378;L8379;L8380
R570	ROOT_SG	dzinkš	WF318	SG363	dzin, dzinkš, dzinks		0	dzin, dzinkš, dzinks	SG_ROOT	L8381
R571	ROOT_SG	dzinks	WF318	SG363	dzin, dzinkš, dzinks		0	dzin, dzinkš, dzinks	SG_ROOT	L8382;L8383;L8384
R572	ROOT_SG	dzen	WF319	SG364	dzen		0	dzen	SG_ROOT	L8385;L8386;L8387;L8388
R573	ROOT_SG	gan	WF320	SG365	gan, gon		0	gan, gon	SG_ROOT	L6493;L8389;L8390;L8392;L5438;L5439;L5440;L5441;L8394
R574	ROOT_SG	gon	WF320	SG365	gan, gon		0	gan, gon	SG_ROOT	L8391;L8393
R575	ROOT_SG	gan	WF321	SG366	gan	BORROWED	0	gan	SG_ROOT	L8395;L8396;L8397
R576	ROOT_SG	dziļ	WF322	SG367	dziļ, dzīl, dzel		0	dziļ, dzīl, dzel	SG_ROOT	L2294;L8398;L6826;L6827;L8399;L8400;L8401;L8402;L8403;L8404;L8405;L8406;L8407;L8408;L8409;L8410;L8411;L8412;L8413;L8414;L8415;L8416;L8417;L8418;L8419;L8420;L8421;L8422;L8423;L8424;L8425;L8426;L8427;L8428;L8429;L8430
R577	ROOT_SG	dzīl	WF322	SG367	dziļ, dzīl, dzel		0	dziļ, dzīl, dzel	SG_ROOT	L8431;L8432;L8433
R578	ROOT_SG	dzel	WF322	SG367	dziļ, dzīl, dzel		0	dziļ, dzīl, dzel	SG_ROOT	L8434;L8435;L8436;L8437;L8438;L8439
R579	ROOT_SG	dzem	WF323	SG368	dzem, dzim, ģim		0	zero-element	SG_ROOT	L8542;L8543;L8544;L8545;L8546;L8547;L1731;L8548;L8549;L8550;L8551;L8552;L8553;L8554;L8555;L8556;L8557;L8558;L8559
R580	ROOT_SG	dzim	WF323	SG368	dzem, dzim, ģim		0	zero-element	SG_ROOT	L8440;L8441;L8442;L931;L932;L933;L2295;L2296;L2297;L2298;L8443;L8444;L8445;L8446;L8447;L8448;L6226;L8449;L8450;L3919;L3920;L3951;L8451;L8452;L8453;L8454;L8455;L8456;L8457;L8458;L8459;L8460;L8461;L8462;L8463;L8464;L8465;L8466;L8467;L8468;L8469;L8470;L8471;L8472;L8473;L8474;L840;L8475;L8476;L8477;L6227;L8478;L8479;L8242;L7734;L8480;L8481;L8482;L8483;L8484;L8485;L8486;L8487;L8488;L8489;L8490;L8491;L8492;L8493;L8494;L8495;L8496;L8497;L8498;L8499;L8500;L5119;L8501;L8502;L8503;L8504;L8505;L8506;L8507;L8508;L8509;L8510;L8511;L8512;L8513;L8514;L8515;L8516;L8517;L8518;L8519;L8520;L8521;L8522;L8523;L8524;L8525;L8526;L8527;L8528;L8529;L8530;L8531;L8532;L8533;L8534;L8535;L8536;L8537;L8538;L8539;L8540;L8541
R581	ROOT_SG	ģim	WF323	SG368	dzem, dzim, ģim		0	zero-element	SG_ROOT	L913;L8560;L6607;L8561;L8562;L8563;L8564;L8565;L8566;L8567;L8568;L8569;L8570;L8571
R582	ROOT_SG	gen	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8760;L8761;L8762;L8763;L8764;L8765;L8766;L8767;L8768;L8769;L8770;L8771;L8772;L8773;L8774;L8775;L8776;L8777;L8778;L8779;L8780;L8809;L8810
R583	ROOT_SG	gēn	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8704;L8705;L8706;L8707;L8708;L8709;L8710;L1179;L7982;L8711;L8712;L8713;L8714;L8715;L8716;L8717;L8718;L8719;L8720;L8721;L8722;L8723;L8724;L8725;L8726;L8727;L8728;L8729;L8730;L8731;L8732;L8733;L8734;L8735;L8736;L8737;L8738;L8739;L8740;L8741;L8742;L8743;L8744;L8745;L8746;L8747;L8748;L8749;L8750;L8751;L8752;L8753;L8754;L8755;L8756;L8757;L8758;L8759;L8814;L8815
R584	ROOT_SG	gon	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8781
R585	ROOT_SG	gn	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8801;L8802;L8803
R586	ROOT_SG	ģen	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L7993;L8572;L8573;L8574;L8575;L8576;L8577;L8578;L8579;L8580;L8581;L8582;L3564;L8583;L8584;L8585;L8586;L8587;L8588;L8589;L8590;L8591;L8592;L8593;L8594;L8595;L8596;L8597;L8598;L8599;L8600;L8601;L8602;L8603;L8604;L8605;L8606;L8607;L8608;L8609;L8610;L8611;L8612;L8613;L8614;L8615;L8616;L8617;L8618;L8619;L8620;L8621;L8622;L8623;L8624;L8625;L8626;L8627;L8628;L8629;L8630;L8631;L8632;L8633;L8634;L8635;L8636;L8637;L8638;L8639;L8640;L8641;L8642;L8643;L8644;L8645;L8646;L8647;L8648;L8649;L8650;L8651;L8652;L8653;L8654;L8655;L8656;L8657;L8658;L8659;L8660;L8661;L8662;L8663;L8664;L8665;L8666;L8667;L8668;L8669;L8672;L8673;L8674;L8675;L8676;L8677;L8678;L8679;L8680;L8681;L8682;L8683;L8684;L8685;L8686;L8687;L8688;L8689;L8690;L8691;L8692;L8693;L8694;L8695;L8696;L8697;L8698;L8699;L8700;L8701;L8702;L8703
R587	ROOT_SG	ģēn	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8670;L8671
R588	ROOT_SG	džen	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8782;L8783;L8784;L8785;L8786;L8787
R589	ROOT_SG	žan	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8788;L8789;L8790;L8791;L8792;L8793;L8794;L8795;L8796;L8797;L8798;L8799;L8800
R590	ROOT_SG	žen	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8804;L8805;L8807
R591	ROOT_SG	žeņ	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8818
R592	ROOT_SG	žēn	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8806;L8808
R593	ROOT_SG	geņ	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8811;L8812
R594	ROOT_SG	džin	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8816
R595	ROOT_SG	džīn	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8817
R596	ROOT_SG	hen	WF323	SG369	gen, gēn, gon, gn, ģen, ģēn, džen, žan, žen, žeņ, žēn, geņ, džin, džīn, hen	BORROWED	0	zero-element	SG_ROOT	L8813
R597	ROOT_SG	nac	WF323	SG370	nac, nāc, na	BORROWED	0	zero-element	SG_ROOT	L8819;L8820;L8821;L8822;L8823;L8824;L8825;L8826;L8827;L8828;L8829;L8830;L8831;L8832;L8833;L8834;L8835;L8836;L8837;L8838;L8839;L4097;L8840;L8841;L8842;L8843;L8844;L8845;L8846;L8847;L8848;L8849;L8850;L8851;L8852;L8853;L8854;L8855;L8856;L8857;L8858;L8860;L8861;L8862;L8863;L8864;L8865;L8866;L8867;L8868;L8869;L8870;L8871;L8872;L8873;L8874;L8875;L8876;L8877;L8878;L5575
R598	ROOT_SG	nāc	WF323	SG370	nac, nāc, na	BORROWED	0	zero-element	SG_ROOT	L5576;L8879;L8880;L8881;L8882;L8883
R599	ROOT_SG	na	WF323	SG370	nac, nāc, na	BORROWED	0	zero-element	SG_ROOT	L8859
R600	ROOT_SG	nat	WF323	SG371	nat, nāt, n, nad	BORROWED	0	zero-element	SG_ROOT	L8884;L8885;L8886;L8887;L8888;L8889;L8890;L8891;L8892;L8893;L8894;L8895;L8896;L8897;L8898;L8899;L8900;L8901;L8902;L8903;L8904;L8905;L8906;L8907;L8908;L8909;L8910;L8911;L8912;L8913
R601	ROOT_SG	nāt	WF323	SG371	nat, nāt, n, nad	BORROWED	0	zero-element	SG_ROOT	L8915;L8916;L8917
R602	ROOT_SG	n	WF323	SG371	nat, nāt, n, nad	BORROWED	0	zero-element	SG_ROOT	L8918
R603	ROOT_SG	nad	WF323	SG371	nat, nāt, n, nad	BORROWED	0	zero-element	SG_ROOT	L8914
R604	ROOT_SG	naiv	WF323	SG372	naiv	BORROWED	0	zero-element	SG_ROOT	L8919;L8920;L8921;L8922;L8923;L8924;L8925;L8926;L8927;L8928;L8929;L8930
R605	ROOT_SG	nes	WF323	SG373	nes	BORROWED	0	zero-element	SG_ROOT	L8931
R606	ROOT_SG	ē	WF324	SG374	ē	BORROWED	0	ē	SG_ROOT	L8932;L8933;L8934
R607	ROOT_SG	ēd	WF325	SG375	ēd, ed, od	BORROWED	0	ēd, ed, od	SG_ROOT	L8935;L8936;L8937;L8938;L8939;L8940;L8941;L8942;L8943
R608	ROOT_SG	ed	WF325	SG375	ēd, ed, od	BORROWED	0	ēd, ed, od	SG_ROOT	L8944
R609	ROOT_SG	od	WF325	SG375	ēd, ed, od	BORROWED	0	ēd, ed, od	SG_ROOT	L8945;L8946;L8947;L8948;L8949;L8950;L8951;L8952;L8953;L8954;L8955;L8956;L8957;L8958;L8959
R610	ROOT_SG	ēden	WF326	SG376	ēden	BORROWED	0	ēden	SG_ROOT	L8960;L8961
R611	ROOT_SG	ēk	WF327	SG377	ēk		0	ēk	SG_ROOT	L8962
R612	ROOT_SG	ēk	WF328	SG378	ēk, ēc		0	ēk, ēc	SG_ROOT	L8963;L7776;L8964;L8965;L8966
R613	ROOT_SG	ēc	WF328	SG378	ēk, ēc		0	ēk, ēc	SG_ROOT	L8967
R614	ROOT_SG	ērc	WF329	SG379	ērc, ērč		0	ērc, ērč	SG_ROOT	L8968;L8969;L8970;L8971;L8972;L8973;L8974;L8975;L8976;L8977;L8978;L8979;L8980;L8981;L8982;L8983
R615	ROOT_SG	ērč	WF329	SG379	ērc, ērč		0	ērc, ērč	SG_ROOT	L8984
R616	ROOT_SG	ēs	WF330	SG380	ēs, ēd, ē, od		0	ēs, ēd, ē, od	SG_ROOT	L9058;L9059;L9060;L9061;L9062;L9063;L9064;L9065;L9066;L9067;L9068;L9069;L9070;L9071;L9072;L9073;L9074;L9075;L9076;L9077;L9078;L9079;L9080;L9081;L9082;L9083;L9084;L9085;L9086;L9087;L9088;L9089;L9090;L9091;L9092;L9093
R617	ROOT_SG	ēd	WF330	SG380	ēs, ēd, ē, od		0	ēs, ēd, ē, od	SG_ROOT	L8985;L8986;L682;L225;L8987;L4893;L8988;L8989;L8990;L8991;L8992;L8993;L8994;L8995;L8996;L8997;L8998;L8999;L9000;L9001;L9002;L9003;L9004;L9005;L9006;L9007;L9008;L9009;L9010;L9011;L9012;L9013;L9014;L9015;L9016;L9017;L9018;L9019;L9020;L9021;L9022;L9023;L9024;L9025;L9026;L9027;L9028;L9029;L9030;L9031;L9032;L9033;L9034;L9035;L9036;L9037;L9038;L9039;L9040;L9041;L9042;L9043;L9044;L9045;L9046;L9047;L9048;L9049;L9050;L9051;L9052;L9053;L9054;L9055;L9056;L9057;L9094;L9095;L9096;L9097
R618	ROOT_SG	ē	WF330	SG380	ēs, ēd, ē, od		0	ēs, ēd, ē, od	SG_ROOT	L9098;L9099;L9100;L9101;L9102;L9103;L9104;L9105;L9106
R619	ROOT_SG	od	WF330	SG380	ēs, ēd, ē, od		0	ēs, ēd, ē, od	SG_ROOT	L9107;L9108;L9109;L9110;L9111;L9112;L9113
R620	ROOT_SG	ēdel	WF331	SG381	ēdel		0	ēdel	SG_ROOT	L9114;L9115
R621	ROOT_SG	ēzel	WF332	SG382	ēzel, ēzeļ	BORROWED	0	ēzel, ēzeļ	SG_ROOT	L9116;L9117;L9118;L9119;L9120;L9121;L9122
R622	ROOT_SG	ēzeļ	WF332	SG382	ēzel, ēzeļ	BORROWED	0	ēzel, ēzeļ	SG_ROOT	L9123;L9124
R623	ROOT_SG	ērzel	WF333	SG383	ērzel		0	ērzel	SG_ROOT	L9125
R624	ROOT_SG	ēz	WF334	SG384	ēz	BORROWED	0	ēz	SG_ROOT	L9126
R625	ROOT_SG	ēzop	WF335	SG385	ēzop, aisop, esop, ezop	BORROWED	0	ēzop, aisop, esop, ezop	SG_ROOT	L9130
R626	ROOT_SG	aisop	WF335	SG385	ēzop, aisop, esop, ezop	BORROWED	0	ēzop, aisop, esop, ezop	SG_ROOT	L9127
R627	ROOT_SG	esop	WF335	SG385	ēzop, aisop, esop, ezop	BORROWED	0	ēzop, aisop, esop, ezop	SG_ROOT	L9128
R628	ROOT_SG	ezop	WF335	SG385	ēzop, aisop, esop, ezop	BORROWED	0	ēzop, aisop, esop, ezop	SG_ROOT	L9129
R629	ROOT_SG	odum	WF336	SG386	odum	BORROWED	0	odum	SG_ROOT	L9131
R630	ROOT_SG	ed	WF337	SG387	ed	BORROWED	0	ed	SG_ROOT	L9132
R631	ROOT_SG	edi	WF338	SG388	edi	BORROWED	0	edi	SG_ROOT	L9133
R632	ROOT_SG	ed	WF339	SG389	ed, eid, edž, eidiņ	BORROWED	0	ed, eid, edž, eidiņ	SG_ROOT	L9138;L9139;L9140;L9141;L9142;L9143;L9144;L9145;L9146;L9147;L9148;L9149;L9150;L9151;L9152;L9153;L9154;L9155;L9156;L9157;L9158;L9159;L9160
R633	ROOT_SG	eid	WF339	SG389	ed, eid, edž, eidiņ	BORROWED	0	ed, eid, edž, eidiņ	SG_ROOT	L9134;L9137
R634	ROOT_SG	edž	WF339	SG389	ed, eid, edž, eidiņ	BORROWED	0	ed, eid, edž, eidiņ	SG_ROOT	L9161;L9162
R635	ROOT_SG	eidiņ	WF339	SG389	ed, eid, edž, eidiņ	BORROWED	0	ed, eid, edž, eidiņ	SG_ROOT	L9135;L9136
R636	ROOT_SG	edin	WF340	SG390	edin	BORROWED	0	edin	SG_ROOT	L4062
R637	ROOT_SG	edip	WF341	SG391	edip, oidip	BORROWED	0	edip, oidip	SG_ROOT	L9163;L9164
R638	ROOT_SG	oidip	WF341	SG391	edip, oidip	BORROWED	0	edip, oidip	SG_ROOT	L9165
R639	ROOT_SG	edn	WF342	SG392	edn	BORROWED	0	edn	SG_ROOT	L9166
R640	ROOT_SG	eh	WF343	SG393	eh, ek, ehē, ehehē, ehh		0	eh, ek, ehē, ehehē, ehh	SG_ROOT	L9167
R641	ROOT_SG	ek	WF343	SG393	eh, ek, ehē, ehehē, ehh		0	eh, ek, ehē, ehehē, ehh	SG_ROOT	L9171
R642	ROOT_SG	ehē	WF343	SG393	eh, ek, ehē, ehehē, ehh		0	eh, ek, ehē, ehehē, ehh	SG_ROOT	L9168
R643	ROOT_SG	ehehē	WF343	SG393	eh, ek, ehē, ehehē, ehh		0	eh, ek, ehē, ehehē, ehh	SG_ROOT	L9169
R644	ROOT_SG	ehh	WF343	SG393	eh, ek, ehē, ehehē, ehh		0	eh, ek, ehē, ehehē, ehh	SG_ROOT	L9170
R645	ROOT_SG	ehin	WF344	SG394	ehin, ehidn	BORROWED	0	ehin, ehidn	SG_ROOT	L9172;L9173;L9174;L9175;L9176
R646	ROOT_SG	ehidn	WF344	SG394	ehin, ehidn	BORROWED	0	ehin, ehidn	SG_ROOT	L9177
R647	ROOT_SG	eh	WF345	SG395	eh, eķ, ķ	BORROWED	0	eh, eķ, ķ	SG_ROOT	L5936;L9178;L9179;L9180;L9181;L9182;L9183;L9184;L9185;L9186;L9187;L9188
R648	ROOT_SG	eķ	WF345	SG395	eh, eķ, ķ	BORROWED	0	eh, eķ, ķ	SG_ROOT	L9190
R649	ROOT_SG	ķ	WF345	SG395	eh, eķ, ķ	BORROWED	0	eh, eķ, ķ	SG_ROOT	L9189
R650	ROOT_SG	ei	WF346	SG396	ei, eu, jev, jū	BORROWED	0	ei, eu, jev, jū	SG_ROOT	L9191;L9192;L9193;L9194;L9195;L9196;L8712;L9197;L8713;L9198;L9199;L9200;L9201;L9202;L9203;L9204;L9205;L9206;L9207;L9208;L9209;L9210;L9211;L9212;L8804;L8806;L8807;L8808
R651	ROOT_SG	eu	WF346	SG396	ei, eu, jev, jū	BORROWED	0	ei, eu, jev, jū	SG_ROOT	L9213;L9214
R652	ROOT_SG	jev	WF346	SG396	ei, eu, jev, jū	BORROWED	0	ei, eu, jev, jū	SG_ROOT	L8809;L8810;L8811;L8812;L8813;L8814;L8815
R653	ROOT_SG	jū	WF346	SG396	ei, eu, jev, jū	BORROWED	0	ei, eu, jev, jū	SG_ROOT	L8816;L8817
R654	ROOT_SG	eifel	WF347	SG397	eifel, eifeļ	BORROWED	0	eifel, eifeļ	SG_ROOT	L9215;L9216;L9217;L9218
R655	ROOT_SG	eifeļ	WF347	SG397	eifel, eifeļ	BORROWED	0	eifel, eifeļ	SG_ROOT	L9219
R656	ROOT_SG	eikoz	WF348	SG398	eikoz	BORROWED	0	eikoz	SG_ROOT	L9220
R657	ROOT_SG	ein	WF349	SG399	ein, ain	BORROWED	0	ein, ain	SG_ROOT	L9221;L9222;L9223
R658	ROOT_SG	ain	WF349	SG399	ein, ain	BORROWED	0	ein, ain	SG_ROOT	L9224;L9225
R659	ROOT_SG	eind	WF350	SG400	eind, end	BORROWED	0	eind, end	SG_ROOT	L9226
R660	ROOT_SG	end	WF350	SG400	eind, end	BORROWED	0	eind, end	SG_ROOT	L9227;L9228;L9229
R661	ROOT_SG	eis	WF351	SG401	eis	BORROWED	0	eis	SG_ROOT	L9230
R662	ROOT_SG	eis	WF352	SG402	eis	BORROWED	0	eis	SG_ROOT	L9231
R663	ROOT_SG	eisak	WF353	SG403	eisak		0	eisak	SG_ROOT	L9232
R664	ROOT_SG	eizen	WF354	SG404	eizen	BORROWED	0	eizen	SG_ROOT	L9233;L9234;L9235;L9236;L9237;L9238;L9239;L9240;L9241;L9242;L9243;L9244;L9245
