MORPHID	MORPHTYPE	FORM	WFID	SGID	SG_LABEL	STRATUM	DEPTH	WF_LABEL	PROVENANCE	ROOTLEMMAS
R461	ROOT_SG	fej	WF275	SG307	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	BORROWED	0	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	SG_ROOT	L6509;L6510;L6511;L6512;L6513
R462	ROOT_SG	tu	WF275	SG307	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	BORROWED	0	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	SG_ROOT	L6552;L6553;L6554;L6555;L6556;L6557;L6558;L6559;L6560;L6561;L6562;L6563;L6564
R463	ROOT_SG	fjo	WF275	SG307	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	BORROWED	0	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	SG_ROOT	L6565;L6566;L6567
R464	ROOT_SG	fe	WF275	SG307	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	BORROWED	0	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	SG_ROOT	L6568;L6569;L6570;L6571;L6572;L6573
R465	ROOT_SG	to	WF275	SG307	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	BORROWED	0	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	SG_ROOT	L6574;L6575;L6576
R466	ROOT_SG	dārt	WF275	SG307	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	BORROWED	0	te, tej, tij, ti, tē, fej, tu, fjo, fe, to, dārt	SG_ROOT	L6519
R467	ROOT_SG	teo	WF276	SG308	teo	BORROWED	0	teo	SG_ROOT	L6577;L6578
R468	ROOT_SG	teo	WF277	SG309	teo	BORROWED	0	teo	SG_ROOT	L6579
R469	ROOT_SG	teorb	WF278	SG310	teorb	BORROWED	0	teorb	SG_ROOT	L6580
R470	ROOT_SG	diž	WF279	SG311	diž		0	diž	SG_ROOT	L6581;L6582;L6583;L1688;L6584;L3282;L6585;L6586;L6587;L6588;L6589;L6590;L6591;L6592;L4989;L6593;L6594;L6595;L6596;L6597;L6598;L6599;L6600;L6601;L6602;L6603;L6604;L6605;L6606;L6607;L6608;L6609;L6610;L6611;L6612;L6613;L6614;L6615;L6616;L6617;L6618;L6619;L6620;L6621;L6622;L6623;L6624;L6625;L6626;L6627;L6628;L6629;L6630;L6631;L6632;L6633;L6634;L6635;L6636;L6637;L6638;L6639;L6640;L6641;L6642;L6643;L6644;L6645;L6646;L6647;L6648;L6649;L6650;L6651;L6652;L6653;L6654;L6655;L6656;L6657;L6658;L6659;L6660;L6661;L6662
R471	ROOT_SG	dižon	WF280	SG312	dižon	BORROWED	0	dižon	SG_ROOT	L6663
R472	ROOT_SG	doc	WF281	SG313	doc, dok, dak	BORROWED	0	zero-element	SG_ROOT	L6730;L6731;L6732;L6733;L6734;L6735;L6736;L6737
R473	ROOT_SG	dok	WF281	SG313	doc, dok, dak	BORROWED	0	zero-element	SG_ROOT	L6664;L6665;L6666;L6667;L6668;L6669;L6670;L6671;L6672;L6673;L6674;L6675;L6676;L6677;L6678;L6679;L6680;L6681;L6682;L6683;L6684;L6685;L6686;L6687;L6688;L6689;L6690;L6691;L6692;L6693;L6694;L6695;L6696;L6697;L6698;L6699;L6716;L6717;L6718;L6719;L6720;L6721;L6722;L6723;L6724;L6725;L6726;L6727;L6728;L6729
R474	ROOT_SG	dak	WF281	SG313	doc, dok, dak	BORROWED	0	zero-element	SG_ROOT	L6700;L6701;L6702;L6703;L6704;L6705;L6706;L6707;L6708;L6709;L6710;L6711;L6712;L6713;L6714;L6715
R475	ROOT_SG	dek	WF281	SG314	dek	BORROWED	0	zero-element	SG_ROOT	L6738;L6739;L6740;L6741;L6742;L6743;L6744;L6745;L6746;L6747;L6748;L6749;L6750
R476	ROOT_SG	dog	WF281	SG315	dog	BORROWED	0	zero-element	SG_ROOT	L6751;L6752;L6753;L6754;L6755
R477	ROOT_SG	doks	WF281	SG316	doks	BORROWED	0	zero-element	SG_ROOT	L6756;L6757;L6758;L6759;L6760;L6761;L6762;L6763;L6764;L6765;L6766
R478	ROOT_SG	dok	WF282	SG317	dok	BORROWED	0	dok	SG_ROOT	L6767;L6768;L6769
R479	ROOT_SG	doku	WF283	SG318	doku	BORROWED	0	doku	SG_ROOT	L6770
R480	ROOT_SG	dok	WF284	SG319	dok	BORROWED	0	dok	SG_ROOT	L6771;L6772
R481	ROOT_SG	dok	WF285	SG320	dok	BORROWED	0	dok	SG_ROOT	L6773
R482	ROOT_SG	dok	WF286	SG321	dok		0	dok	SG_ROOT	L6774
R483	ROOT_SG	dakt	WF287	SG322	dakt	BORROWED	0	dakt	SG_ROOT	L6775;L6776;L6777
R484	ROOT_SG	dakt	WF288	SG323	dakt	BORROWED	0	dakt	SG_ROOT	L6778;L6779;L6780
