MORPHID	MORPHTYPE	FORM	POSITION	PROVENANCE	AFFIXLEMMA
P23	PREFIX	pī	WORD_INITIAL	SINGLE_ROOT_SEG	L7649
P24	PREFIX	re	WORD_INITIAL	SINGLE_ROOT_SEG	L7417;L7418;L7419;L7420;L7421;L7452;L7453;L7454;L7455;L7456;L7934;L7935;L7936;L8722;L8723;L8724;L8725;L8726
P25	PREFIX	sa	NON_INITIAL;WORD_INITIAL	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L10005;L10006;L10105;L10120;L10121;L10170;L10201;L10218;L1459;L170;L171;L172;L173;L1956;L1979;L2030;L2059;L208;L2156;L2157;L2162;L2202;L2203;L2238;L2626;L2627;L2640;L2641;L2642;L2643;L2644;L2645;L2646;L2647;L2648;L2649;L2650;L2651;L2652;L2695;L2696;L2697;L2698;L2699;L2700;L2763;L2819;L2863;L2864;L2865;L2944;L2945;L2946;L3138;L3139;L3201;L3202;L3203;L3259;L3281;L3282;L3283;L3296;L3528;L3538;L3742;L3743;L3919;L3966;L4059;L4285;L4286;L4287;L4362;L4363;L4364;L4365;L4401;L4402;L4403;L4404;L4405;L4406;L4407;L4415;L4593;L4594;L4595;L4699;L4734;L4735;L4911;L4912;L4948;L4982;L4983;L4984;L4985;L5095;L5096;L5193;L5194;L5195;L5196;L5197;L5198;L5199;L5200;L5201;L5202;L5203;L5390;L5391;L5392;L5393;L5394;L5395;L5518;L5519;L555;L5718;L5719;L5720;L5849;L5850;L5887;L5897;L5898;L5899;L6905;L6906;L6907;L6976;L7147;L7148;L7149;L7150;L7349;L7350;L7351;L7352;L7353;L7457;L7515;L7545;L7609;L7610;L7649;L7720;L7721;L7722;L7732;L7733;L783;L784;L785;L7882;L7916;L7917;L7918;L7919;L7920;L7921;L7922;L8190;L8191;L8192;L8193;L8230;L8231;L8561;L8584;L883;L884;L885;L9001;L9002;L9003;L9004;L9005;L9006;L9113;L9114;L9976;L9977
P26	PREFIX	uz	NON_INITIAL;WORD_INITIAL	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L10122;L10123;L10171;L1672;L175;L176;L177;L2011;L2031;L2032;L2033;L2061;L2158;L2178;L2204;L2660;L2930;L3110;L3140;L3143;L3204;L3205;L3206;L3207;L3264;L3265;L3274;L3284;L3285;L3286;L3287;L3297;L3305;L3306;L3925;L3926;L3927;L4060;L4061;L4366;L4410;L4736;L4737;L4757;L4801;L4802;L4803;L5409;L5410;L5411;L5721;L5852;L5853;L6398;L6399;L6977;L6978;L7072;L7073;L7074;L7157;L7158;L7159;L7160;L7611;L7612;L7925;L7926;L7927;L7928;L7929;L794;L795;L8125;L8198;L8199;L8232;L8728;L896;L897;L9115;L9116;L9608
S1	SUFFIX	a	WORD_FINAL	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L100;L10000;L10003;L10004;L10005;L10019;L10020;L10029;L1003;L10034;L1004;L10040;L10044;L10045;L10048;L10049;L10051;L10055;L10058;L10063;L10064;L10070;L10073;L10081;L1009;L10098;L10099;L101;L10102;L10104;L1011;L10128;L10132;L1014;L10141;L1015;L1018;L10182;L1019;L102;L10202;L10210;L10211;L10215;L10220;L10225;L10229;L103;L1030;L1047;L1048;L1049;L1051;L1052;L1053;L1054;L1056;L106;L1060;L107;L1070;L1076;L1077;L1078;L1079;L108;L1084;L1086;L109;L1090;L1093;L1095;L1099;L11;L110;L1101;L1103;L1106;L111;L1116;L1119;L112;L1123;L113;L1132;L1135;L1139;L114;L1140;L1143;L1147;L1154;L1160;L1161;L1162;L1163;L117;L118;L1182;L1185;L1186;L119;L1194;L1195;L1196;L12;L120;L1202;L1208;L121;L1210;L1219;L122;L1221;L1223;L1224;L1228;L123;L1230;L1231;L1239;L1249;L125;L1252;L1258;L1265;L1268;L127;L1271;L1272;L1276;L1277;L1278;L1279;L128;L1285;L1286;L129;L1292;L1296;L1297;L13;L1300;L1301;L1309;L131;L1310;L1314;L1315;L132;L1320;L1322;L1339;L1340;L1343;L1344;L1345;L1346;L1347;L1348;L1355;L1356;L136;L1360;L1361;L1362;L1364;L1365;L1366;L1375;L1396;L1400;L1403;L141;L1417;L1418;L1419;L1420;L1421;L1422;L1427;L1428;L1429;L1430;L1431;L1432;L1437;L1440;L1444;L1461;L1474;L1476;L1480;L149;L1500;L1509;L1514;L152;L1527;L1530;L1533;L1537;L1539;L154;L1552;L1573;L158;L1588;L1595;L1607;L1614;L1615;L1616;L162;L1620;L1642;L1647;L1648;L1657;L1658;L1659;L166;L1668;L1673;L1675;L1677;L1679;L1683;L1684;L1686;L1693;L17;L170;L1704;L1705;L1712;L1715;L1718;L1719;L1722;L1733;L1738;L1741;L1742;L1743;L1745;L1746;L1748;L1749;L175;L1754;L1756;L1767;L1771;L1775;L1778;L1779;L1780;L1782;L1784;L1786;L1790;L1793;L1795;L1797;L1802;L1809;L1812;L1815;L1816;L1828;L1829;L183;L1839;L1841;L1847;L1879;L189;L1897;L1910;L1917;L1933;L1936;L1943;L1945;L195;L1950;L1955;L1957;L1962;L1965;L1970;L1974;L1984;L1989;L199;L2;L2004;L2012;L2014;L2019;L2022;L2031;L2038;L204;L2041;L2043;L2046;L2062;L2064;L2065;L2066;L2069;L2070;L2082;L2093;L21;L2106;L2110;L2126;L2127;L2133;L2135;L2138;L2168;L217;L2185;L2187;L219;L2194;L2207;L2208;L221;L2212;L2217;L2223;L2225;L2229;L223;L2231;L2233;L2243;L2252;L2254;L2255;L2258;L2263;L2272;L2277;L2279;L2282;L2288;L229;L2290;L2296;L2299;L230;L2304;L2311;L2313;L2318;L232;L2320;L2322;L2324;L2327;L2340;L2343;L2346;L2350;L2352;L2354;L2356;L2358;L2359;L236;L2363;L2365;L2371;L2377;L2380;L2383;L2385;L2387;L239;L2390;L2396;L2398;L2399;L2400;L2403;L2412;L2417;L2419;L242;L2422;L2426;L2428;L243;L2431;L2434;L2440;L2451;L2452;L2458;L2465;L2466;L2471;L2474;L2478;L2483;L2485;L2486;L2490;L2491;L2493;L2497;L25;L2505;L2509;L2516;L2519;L2521;L2528;L2529;L2533;L2538;L254;L2544;L2548;L2551;L2553;L2556;L2567;L2568;L2569;L2577;L2584;L2592;L2598;L2603;L2604;L2605;L2610;L2611;L2612;L2617;L2620;L2621;L2622;L2623;L2624;L2625;L2628;L2629;L2630;L2633;L2635;L2636;L2637;L2642;L2646;L2656;L2658;L2660;L2662;L2666;L2669;L2672;L2675;L2682;L2683;L2687;L2688;L2691;L2692;L2696;L2702;L2703;L2705;L2707;L271;L2713;L2723;L2733;L275;L2751;L2755;L2758;L2764;L2766;L2769;L2774;L2777;L2780;L2788;L279;L2794;L2811;L2812;L2831;L2839;L2840;L2841;L2845;L2851;L2854;L2856;L2858;L2868;L287;L2871;L2883;L2885;L2887;L2889;L2891;L2896;L2899;L2900;L2903;L2904;L2906;L2909;L2914;L2919;L2921;L2932;L2956;L296;L2966;L2967;L2976;L2979;L2985;L2986;L2987;L2993;L2994;L2996;L2999;L3006;L3009;L301;L3010;L3011;L3015;L3018;L3020;L3021;L3024;L3044;L3048;L3056;L3064;L3065;L3067;L3068;L3070;L3072;L3073;L3075;L3079;L3089;L3090;L3093;L3094;L3102;L3103;L3105;L3109;L3111;L3112;L3113;L3124;L3144;L3147;L3149;L3151;L3152;L3154;L3157;L3163;L3165;L3167;L3172;L3177;L3178;L3179;L3183;L3191;L3194;L3198;L320;L3200;L3201;L3204;L3208;L3210;L3217;L3230;L3239;L3256;L327;L3274;L3275;L3278;L3280;L3281;L3284;L3301;L3309;L3311;L3312;L3313;L3314;L3316;L3319;L3322;L3342;L3346;L3347;L3349;L3354;L3355;L3357;L3358;L3368;L3377;L3386;L3400;L3403;L3406;L3411;L3413;L3414;L3416;L3421;L3423;L3425;L3428;L3431;L3434;L3440;L3442;L3444;L3446;L3450;L3458;L346;L3462;L3469;L3474;L3479;L3510;L3512;L3513;L3514;L3519;L3521;L3539;L3540;L3541;L3542;L3547;L3550;L3551;L3559;L3582;L3588;L3594;L3595;L3597;L3605;L3607;L3609;L3611;L3617;L3622;L3626;L3630;L3641;L3651;L3655;L3663;L3669;L3681;L3689;L3691;L3692;L3695;L3696;L3697;L374;L375;L3753;L3758;L3763;L3769;L3771;L3775;L3779;L3782;L3784;L3793;L3796;L3799;L3800;L3801;L3803;L3807;L3812;L3814;L3816;L3818;L3822;L3827;L3829;L3830;L3832;L3835;L3845;L3847;L385;L3853;L3855;L3856;L3861;L3864;L3866;L3869;L387;L3872;L3877;L3883;L3894;L3899;L390;L3906;L3916;L392;L3926;L3933;L3935;L3940;L3941;L3945;L3948;L3951;L3955;L396;L3960;L3961;L3963;L3971;L3978;L3979;L398;L3984;L3986;L3988;L3989;L399;L3990;L3991;L3994;L3995;L401;L4011;L4012;L4015;L4017;L402;L4022;L4036;L4037;L4045;L4048;L4057;L4063;L4065;L4067;L4070;L4071;L4072;L4076;L4079;L4080;L4081;L4082;L4083;L4085;L4086;L4087;L4088;L4089;L4090;L4091;L4092;L4094;L4095;L4096;L4097;L4098;L4099;L4100;L4101;L4102;L4103;L4104;L4105;L4106;L4107;L4108;L4109;L4110;L4111;L4112;L4113;L4114;L4115;L4116;L4121;L4125;L4126;L4135;L4137;L4138;L4141;L4142;L4146;L4148;L4149;L4150;L416;L4164;L4165;L417;L4170;L4175;L4176;L418;L4183;L4186;L4189;L419;L4190;L4197;L4204;L4206;L421;L4212;L4215;L4217;L4223;L4234;L424;L4241;L4244;L4245;L4247;L4267;L4271;L4273;L4288;L4289;L429;L4311;L4319;L432;L4321;L4323;L4326;L4339;L4347;L4362;L4370;L4379;L438;L4383;L4384;L4385;L4392;L4402;L4411;L4416;L4418;L4421;L4423;L4478;L4520;L4521;L4530;L4532;L4534;L4536;L454;L4552;L4554;L456;L4561;L4563;L4566;L4570;L4574;L4577;L4584;L4589;L4594;L4599;L4603;L4606;L4610;L4613;L4616;L4619;L4632;L464;L4640;L4646;L4652;L4655;L4658;L4660;L4661;L4662;L4663;L4664;L4665;L4666;L4667;L4668;L4669;L467;L4675;L4678;L4682;L469;L4700;L4706;L4707;L4708;L471;L4715;L4717;L4750;L4762;L4774;L4778;L4783;L479;L4798;L4801;L4808;L482;L4820;L4827;L483;L484;L4848;L4850;L4853;L4854;L4855;L4856;L4857;L4860;L4863;L4866;L4868;L4869;L4875;L488;L4884;L4885;L4892;L4896;L49;L4914;L4920;L4924;L4930;L4936;L4937;L4938;L494;L4940;L4941;L4942;L4943;L4945;L4946;L4951;L4957;L4961;L4963;L4968;L498;L4981;L4990;L4995;L4997;L4998;L50;L5000;L5005;L5009;L501;L5012;L5027;L5048;L5049;L5050;L5051;L5052;L5053;L5054;L5057;L5059;L5060;L5061;L5062;L5067;L5068;L5069;L5070;L5071;L5072;L5073;L5074;L5075;L5076;L5077;L5078;L5079;L508;L5080;L5081;L5084;L5085;L5086;L5087;L5088;L5089;L509;L5090;L5091;L5092;L5093;L5094;L5095;L5096;L5097;L5098;L5099;L5100;L5101;L5102;L5104;L5105;L5108;L5111;L5113;L5116;L5117;L5118;L5119;L5123;L5127;L5129;L513;L5131;L5133;L5134;L5136;L5139;L5148;L515;L5153;L5158;L5164;L5167;L5176;L5184;L5187;L519;L5196;L5202;L5205;L5206;L5208;L5211;L5216;L522;L5227;L5229;L5230;L5232;L5234;L5236;L5241;L5242;L5243;L5248;L525;L5250;L5252;L5253;L5263;L5268;L5271;L5272;L5273;L5275;L5276;L5278;L5283;L5285;L5293;L5295;L5296;L53;L5300;L5304;L5305;L5308;L5311;L5313;L5315;L5317;L532;L5320;L5328;L5330;L5333;L5337;L5340;L5343;L5344;L5347;L5349;L535;L5351;L5357;L5359;L5360;L5364;L5365;L5367;L5370;L5373;L5375;L5378;L5379;L5383;L539;L5390;L5395;L5396;L5397;L5404;L5405;L5408;L541;L5410;L5411;L5415;L5422;L5432;L5434;L5436;L5439;L5441;L5443;L5449;L5456;L5458;L5465;L547;L5471;L5473;L5484;L5487;L549;L5491;L5494;L5497;L5501;L5504;L5512;L5523;L5525;L5528;L5529;L5530;L5544;L5559;L5586;L5604;L561;L5612;L5621;L5630;L5636;L5638;L5645;L5656;L5667;L5671;L5673;L5677;L5682;L5695;L5699;L5703;L5704;L5710;L5714;L5718;L5726;L5728;L5729;L5736;L5737;L5746;L5751;L5763;L5767;L5770;L5775;L5778;L5781;L5785;L5789;L5790;L5792;L5794;L5795;L5796;L5810;L5820;L5821;L5824;L5825;L5826;L5827;L5828;L5833;L5836;L5837;L5843;L5847;L5848;L5849;L5854;L5855;L5856;L5859;L5864;L5868;L5870;L5873;L5877;L5881;L5884;L5888;L5897;L59;L5917;L5919;L5923;L5935;L5937;L5939;L5940;L5942;L5944;L5949;L5950;L5960;L5964;L5969;L5970;L5971;L5972;L5976;L5977;L5978;L5987;L601;L6155;L6157;L6159;L6161;L6163;L6164;L6165;L6166;L6167;L6171;L6173;L6175;L6179;L6182;L6184;L6185;L6187;L6188;L619;L6190;L6192;L6193;L6194;L6195;L6199;L62;L6203;L6204;L6205;L6206;L6207;L6208;L6209;L621;L6211;L6214;L622;L6220;L6222;L6226;L623;L6230;L6233;L6234;L6237;L6238;L6239;L6243;L6245;L625;L6251;L6252;L6253;L6254;L6257;L6259;L6262;L6265;L6266;L6267;L6268;L6269;L6271;L6274;L6277;L6278;L6280;L6281;L6282;L6283;L6284;L6285;L6286;L629;L63;L6301;L6306;L631;L6312;L6313;L6314;L6316;L6317;L6319;L6322;L6323;L6325;L6326;L6331;L6333;L6337;L6339;L6344;L6351;L6352;L6358;L6367;L6368;L6369;L6371;L6376;L6377;L6378;L638;L6381;L6392;L6395;L64;L6407;L6416;L6424;L6428;L6434;L6439;L6441;L6443;L6447;L6449;L6451;L6460;L6467;L6472;L6496;L650;L6502;L6519;L6520;L6521;L6522;L6523;L653;L6535;L6536;L6540;L6542;L6543;L6544;L6545;L6546;L6549;L6553;L6556;L6560;L6590;L6592;L6594;L6596;L6598;L660;L6604;L6608;L6611;L6621;L6624;L6627;L6634;L6635;L6636;L6641;L6643;L6645;L6648;L665;L6662;L6667;L6670;L668;L6688;L6690;L6693;L6696;L67;L6702;L6704;L6709;L6710;L672;L6726;L6739;L6744;L6747;L675;L6751;L6752;L6757;L676;L6760;L6769;L677;L6771;L6776;L6777;L6782;L6796;L68;L6801;L6803;L6815;L6816;L6821;L6827;L6830;L6831;L6832;L6839;L6840;L6846;L685;L6855;L6860;L6864;L6865;L6867;L687;L6873;L6874;L6882;L6886;L6887;L6893;L6896;L69;L6900;L6904;L6908;L6910;L6928;L6937;L6939;L6945;L6948;L6952;L6954;L6956;L6957;L6958;L6962;L6971;L6973;L6979;L6988;L6989;L699;L6999;L7004;L701;L7011;L7015;L7025;L7027;L7029;L7037;L7039;L7046;L7052;L7055;L7058;L7070;L7074;L7076;L7079;L708;L7083;L7084;L7086;L7088;L7095;L7096;L7099;L7100;L7104;L7108;L7109;L7110;L7112;L7117;L7121;L7127;L7128;L7130;L7132;L7135;L7139;L7142;L7147;L7151;L7152;L7155;L7156;L7157;L7167;L7169;L717;L7173;L7180;L7185;L7186;L7190;L7193;L7196;L7199;L7202;L7204;L7208;L7209;L7210;L7213;L7215;L7218;L7220;L7221;L7223;L7225;L7227;L7228;L7236;L7237;L7238;L7241;L7242;L7247;L7248;L7249;L7250;L7253;L7255;L7256;L7257;L7258;L7261;L7264;L7272;L728;L7280;L7295;L7301;L7303;L7305;L7306;L7308;L7314;L7331;L7336;L734;L7344;L7353;L7368;L7373;L7376;L7380;L7383;L7385;L7387;L739;L7391;L7395;L74;L7402;L7404;L7405;L7406;L7407;L7409;L7414;L7417;L7423;L7427;L7429;L7432;L7444;L7447;L7453;L7460;L7462;L7464;L7465;L7468;L7477;L7494;L751;L7537;L754;L7552;L7553;L7555;L7557;L7558;L7559;L7562;L7565;L7575;L7576;L758;L7584;L7588;L7591;L7596;L7599;L76;L7613;L7614;L7615;L7619;L7625;L7641;L7643;L7645;L7654;L7656;L7686;L769;L7695;L7698;L7702;L7703;L7710;L7712;L7713;L7715;L772;L7720;L7723;L7724;L7726;L7729;L7732;L7734;L7735;L7736;L7741;L7743;L7745;L7747;L7754;L7765;L7767;L778;L7780;L7783;L7784;L7789;L779;L7790;L7795;L7801;L7809;L7811;L7813;L7819;L7829;L783;L7834;L7838;L7839;L7843;L7845;L7855;L7858;L7859;L7861;L7877;L7889;L7891;L7894;L7895;L7899;L79;L7902;L7907;L7909;L7912;L7920;L7926;L7928;L7932;L7934;L7935;L7938;L7939;L7940;L7944;L7948;L7957;L7959;L7962;L7964;L7967;L7968;L7969;L7973;L7974;L7975;L7978;L7981;L7983;L7987;L7991;L7993;L7995;L7996;L7998;L8;L80;L800;L8000;L8005;L8008;L801;L8014;L8015;L8017;L8018;L8021;L8022;L8024;L803;L8032;L8035;L8037;L8039;L8040;L8042;L8048;L8049;L8057;L8061;L8064;L8071;L8074;L8077;L808;L8080;L8083;L8084;L8095;L8099;L81;L810;L8102;L8105;L8106;L8107;L8108;L8109;L811;L8110;L8111;L8112;L8113;L8114;L8115;L8116;L8117;L8118;L8119;L8120;L8121;L8122;L8123;L8124;L8125;L8127;L8131;L8133;L8135;L8139;L8141;L8142;L8146;L8154;L8155;L8162;L8165;L8166;L8167;L8170;L8171;L8173;L8174;L818;L8182;L8184;L8185;L8188;L8190;L8195;L8196;L8198;L820;L8200;L8203;L8205;L8207;L821;L8211;L8214;L8217;L8220;L8224;L8226;L823;L8230;L8240;L825;L8254;L8259;L826;L8264;L8267;L8268;L8269;L8270;L8271;L8272;L8284;L8288;L8291;L8296;L8299;L8308;L831;L8318;L8322;L8324;L8338;L835;L8351;L8356;L8357;L836;L8372;L8373;L8374;L8375;L8377;L8378;L838;L8384;L8385;L8386;L8397;L84;L840;L841;L8417;L8418;L8420;L8423;L843;L8430;L8434;L8435;L8436;L8442;L8448;L845;L8465;L8466;L847;L8472;L8473;L8475;L8480;L8485;L8489;L849;L8498;L85;L8508;L8509;L8513;L8514;L8517;L8521;L8524;L8527;L8528;L8530;L8532;L8533;L8540;L8547;L8548;L8549;L855;L8550;L8556;L8559;L856;L8563;L8564;L8565;L857;L8570;L8572;L8576;L8577;L8598;L86;L8608;L8619;L8621;L8625;L8627;L8628;L8635;L8641;L8650;L8651;L8655;L8662;L8664;L8666;L8679;L8682;L8685;L8689;L869;L87;L870;L8707;L8711;L8723;L8733;L8737;L874;L8744;L876;L8786;L88;L8813;L882;L8827;L8829;L8830;L8831;L8834;L8836;L8839;L884;L8843;L8846;L8850;L8861;L887;L8878;L8898;L89;L890;L8904;L8905;L8906;L8908;L891;L8918;L8920;L8921;L8926;L893;L8936;L8940;L8960;L8961;L8963;L8964;L8965;L8966;L8967;L8968;L8970;L8971;L8974;L8978;L8980;L8988;L8989;L8990;L8991;L9009;L9015;L9018;L9021;L9022;L9024;L9025;L9030;L9035;L9037;L9038;L904;L9041;L9042;L9043;L9048;L905;L9051;L9054;L9056;L906;L9060;L9061;L9062;L9066;L907;L9070;L9075;L9077;L9087;L9089;L909;L910;L9117;L9121;L9122;L9123;L9124;L9126;L9127;L9131;L914;L9155;L9157;L9158;L916;L9161;L9162;L9167;L917;L9170;L9179;L9189;L9195;L9196;L9197;L9198;L92;L9200;L9201;L9202;L9203;L9205;L9207;L9215;L9217;L9227;L9232;L9238;L9249;L925;L9250;L9251;L9253;L9256;L9260;L9267;L927;L9273;L9284;L929;L9290;L9295;L9297;L9298;L93;L930;L9306;L932;L9330;L9344;L9347;L9349;L9350;L936;L9362;L9363;L9365;L9369;L9372;L9378;L9380;L9382;L9384;L9386;L9387;L9393;L9394;L9395;L9396;L94;L9404;L941;L9410;L9413;L9416;L9417;L9418;L942;L9421;L9422;L9423;L9424;L9432;L9440;L9454;L9457;L947;L9478;L9479;L949;L9496;L95;L9500;L9502;L9503;L9507;L9510;L9514;L9516;L9518;L9520;L9521;L9526;L9529;L9558;L957;L9578;L9580;L96;L9622;L9630;L9640;L9641;L9646;L9650;L966;L9668;L9670;L9674;L9675;L9678;L9679;L9680;L9682;L9683;L969;L9693;L9694;L97;L970;L9700;L9702;L9704;L9707;L9712;L9713;L9714;L9715;L9716;L9732;L9733;L9737;L9745;L9747;L9749;L9750;L976;L9762;L9773;L9776;L9780;L9781;L9782;L98;L9801;L9811;L9820;L9826;L9828;L9830;L9832;L9840;L9844;L9849;L9850;L9860;L9882;L99;L9900;L9904;L9910;L9918;L992;L993;L9932;L995;L9968;L9980;L9982;L9987;L9988;L9991;L9994
S2	SUFFIX	ac	AFTER_ROOT	SINGLE_ROOT_SEG	L400
S3	SUFFIX	ag	AFTER_ROOT	MULTI_ROOT_SEG	L6682
S4	SUFFIX	ain	AFTER_ROOT	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L10052;L10054;L10055;L10056;L10086;L10089;L10179;L104;L115;L130;L1350;L1351;L1435;L1518;L1560;L1568;L1765;L2083;L2332;L2381;L2382;L2393;L2415;L2495;L2507;L2560;L2663;L2673;L290;L297;L302;L307;L3091;L311;L321;L331;L337;L341;L347;L350;L356;L363;L369;L3700;L376;L4457;L4459;L4460;L4506;L4568;L543;L544;L5555;L5569;L5574;L5585;L5586;L5587;L5638;L5639;L5640;L5652;L5684;L5768;L577;L624;L625;L626;L6426;L6427;L6428;L6429;L6430;L6431;L6438;L6439;L6440;L65;L66;L7472;L7483;L7484;L7489;L75;L7516;L77;L83;L8380;L8381;L90;L935;L9425;L9433;L9671;L9708;L9719;L9726;L9741;L9751;L9759;L9763;L9766;L9769;L9786;L9789;L9792;L9795;L9799;L9802;L9812;L9838;L9874;L9905;L9909;L9916;L9925;L9926;L9934;L9937;L9942;L9943;L9946;L9956
S5	SUFFIX	ain	MIDDLE	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L10;L1466;L1467;L2248;L2256;L2734;L3028;L3104;L3336;L3337;L3571;L3724;L3728;L4249;L4709;L5563;L5612;L5613;L5655;L5656;L5657;L692;L747;L7492;L7529;L7530;L7533;L7725;L8459;L9275;L9276;L9866
S6	SUFFIX	ais	WORD_FINAL	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L1007;L4437;L4482;L4519;L4541;L568;L586;L589;L5989;L600;L6012;L6017;L6027;L6030;L6036;L6045;L6053;L6055;L6060;L6061;L6063;L6071;L6074;L6078;L6093;L6097;L6105;L6109;L6114;L6116;L6121;L6149;L7124;L8558;L8566;L9689;L986;L9870;L988
S7	SUFFIX	ait	AFTER_ROOT	SINGLE_ROOT_SEG	L6605
S8	SUFFIX	aiņ	AFTER_ROOT	SINGLE_ROOT_SEG	L9839
S9	SUFFIX	al	AFTER_ROOT	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L1312;L3684;L3802;L4446;L6626;L6692;L6785;L8626;L8926;L8927;L8928;L9676
S10	SUFFIX	al	MIDDLE	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L5538;L7296;L8697;L8846;L8847;L8850;L8851;L8860;L8861;L8862;L8898
S11	SUFFIX	alē	AFTER_ROOT	SINGLE_ROOT_SEG	L3152;L3153
S12	SUFFIX	am	AFTER_ROOT	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L1972;L1973;L1974;L2239;L2242;L2243;L2244;L270;L271;L272;L3222;L3229;L3242;L3546;L4018;L4176;L4177;L4206;L4207;L4266;L4270;L4271;L4272;L4637;L4644;L4645;L4646;L4647;L5792;L5793;L7176;L7574;L8048;L8135;L8136;L8376;L8379;L8514;L9009;L9010;L9020;L922
S13	SUFFIX	am	MIDDLE	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L1482;L2750;L2751;L2752;L2755;L2758;L2764;L2765;L2766;L2767;L2768;L2912;L3320;L3321;L3887;L4194;L5627;L6470;L7161;L7802
S14	SUFFIX	am	WORD_FINAL	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L3507;L3509;L3511;L9586
S15	SUFFIX	an	AFTER_ROOT	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L1599;L1600;L3710;L3721;L503;L6667;L6956;L6957;L7999;L8040
S16	SUFFIX	anc	AFTER_ROOT	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L6923;L6931
S17	SUFFIX	and	AFTER_ROOT	SINGLE_ROOT_SEG	L1614;L1615;L6741
S18	SUFFIX	ant	AFTER_ROOT	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L3815;L3820;L4843;L6742;L6743;L6744;L6754;L6924;L6925;L6930;L6933;L6934
S19	SUFFIX	ant	MIDDLE	SINGLE_ROOT_SEG	L8969
S20	SUFFIX	ar	AFTER_ROOT	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L1088;L9340
S21	SUFFIX	ar	WORD_FINAL	MULTI_ROOT_SEG	L4771;L4795
S22	SUFFIX	as	WORD_FINAL	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L10136;L105;L1085;L116;L124;L126;L1280;L1464;L1496;L1519;L1817;L1856;L2037;L2052;L2055;L2105;L2211;L224;L2251;L2264;L2265;L2267;L227;L2308;L2310;L2319;L2333;L2337;L2348;L2364;L2367;L2392;L2402;L2411;L2420;L2443;L2472;L2473;L2482;L249;L2496;L2502;L2504;L2518;L2530;L2543;L2562;L2837;L3022;L3412;L3451;L3452;L3467;L3631;L3701;L3810;L3983;L4546;L4949;L4952;L5222;L5224;L5266;L5857;L6160;L6216;L6260;L6275;L6279;L6287;L6324;L6327;L6341;L6348;L6349;L6355;L6356;L6364;L6380;L6383;L6435;L6754;L678;L6806;L6848;L6895;L7092;L7141;L7267;L7270;L7463;L7603;L7671;L7672;L7673;L7680;L7681;L7682;L7687;L7689;L78;L82;L8229;L8241;L8287;L8484;L8499;L8553;L8560;L8575;L8578;L8700;L91;L9720;L9727;L9742;L9752;L9770;L9796;L9807;L9813;L982;L9834
S23	SUFFIX	ast	AFTER_ROOT	MULTI_ROOT_SEG	L6652
S24	SUFFIX	at	AFTER_ROOT	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L1079;L1205;L1304;L3837;L4432;L4804;L4821;L4826;L5963;L6768;L7230;L7237;L8012;L8013;L8016;L8597;L8605;L8607;L8617;L8623;L8624;L8633;L8634;L8635;L8649;L8666;L8710;L8722;L8727;L8873
S25	SUFFIX	atn	AFTER_ROOT	MULTI_ROOT_SEG	L1013
S26	SUFFIX	aun	AFTER_ROOT	SINGLE_ROOT_SEG	L2084
S27	SUFFIX	av	AFTER_ROOT	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L1004;L2208;L3551;L3552;L3553;L9460
S28	SUFFIX	av	MIDDLE	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L1514;L1530;L5796;L5797;L7672;L7673;L7674;L7675;L7676;L7677;L7681;L7682
S29	SUFFIX	aļ	AFTER_ROOT	SINGLE_ROOT_SEG	L3696
S30	SUFFIX	d	AFTER_ROOT	MULTI_ROOT_SEG;SINGLE_ROOT_SEG	L1069;L1191;L1308;L2035;L2041;L2042;L2047;L2049;L2053;L2707;L2708;L2709;L2710;L2711;L2712;L2713;L2714;L2715;L2716;L2784;L2785;L2786;L2787;L2788;L2789;L2790;L2791;L2792;L2793;L2794;L6144;L6883;L7005;L7218;L7551;L7553;L7554;L7555;L7556;L7558;L7559;L7560;L7561;L7562;L7563;L7564;L7692;L7693;L7694;L7695;L7696;L7697;L7698;L7699;L7700;L7701;L7702;L7703;L7704;L7705;L7706;L7707;L7708;L7709;L7710;L7711;L7712;L7713;L7714;L7715;L7716;L7717;L7718;L7719;L7720;L7721;L7722;L7723;L8567;L8568;L8569;L8570;L8571;L8572;L8573;L8574;L8575;L8577;L8578;L8579;L8580;L8581;L8582;L8583;L8584
